Month,Dataset,SKU,Actual,Predicted,Iteration
2024-07-01,Train,df_54_comsubs_PRCollagen,0,0.25,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-08-01,Train,df_54_comsubs_PRCollagen,0,0.28,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-09-01,Test,df_54_comsubs_PRCollagen,0,0.78,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-10-01,Test,df_54_comsubs_PRCollagen,0,0.85,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-11-01,Test,df_54_comsubs_PRCollagen,0,0.52,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-12-01,Test,df_54_comsubs_PRCollagen,0,0.41000000000000003,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-06-01,Test,df_21_comsubs_850243008598,168,155.13,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2022-07-01,Test,df_21_comsubs_850243008598,185,170.83,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2022-08-01,Test,df_21_comsubs_850243008598,149,199.48999999999998,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2022-09-01,Test,df_21_comsubs_850243008598,156,208.99,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2022-10-01,Test,df_21_comsubs_850243008598,213,214.24,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2022-11-01,Test,df_21_comsubs_850243008598,230,207.39,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
